snapshot_id,snapshot_date,team_key,player_id,player_name,position,overall,efficiency_score,rating_source,rating_timestamp,is_in_squad_pool,notes
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,mexico,mexico:j_s_nchez_purata:DF:026,J. Sánchez Purata,DF,72,0.22,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:jo_hyeon_woo:GK:001,Jo Hyeon Woo,GK,75,0.25,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:lee_chang_geun:GK:002,Lee Chang Geun,GK,74,0.24,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:song_bum_keun:GK:003,Song Bum Keun,GK,74,0.24,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:h_son:FW:004,H. Son,FW,85,0.35,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:kim_min_jae:DF:005,Kim Min Jae,DF,82,0.32,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:lee_kang_in:FW:006,Lee Kang In,FW,79,0.29,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:lee_jae_sung:MF:007,Lee Jae Sung,MF,77,0.27,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:hwang_in_beom:MF:008,Hwang In Beom,MF,77,0.27,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:lee_dong_kyeong:MF:009,Lee Dong Kyeong,MF,75,0.25,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:hwang_hee_chan:FW:010,Hwang Hee Chan,FW,75,0.25,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:joo_min_kyu:FW:011,Joo Min Kyu,FW,74,0.24,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:hong_hyeon_seok:MF:012,Hong Hyeon Seok,MF,73,0.23,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:jeong_woo_yeong:MF:013,Jeong Woo Yeong,MF,73,0.23,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:kim_bong_soo:MF:014,Kim Bong Soo,MF,72,0.22,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:jeon_jin_woo:FW:015,Jeon Jin Woo,FW,72,0.22,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:paik_seung_ho:MF:016,Paik Seung Ho,MF,72,0.22,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:oh_hyeon_gyu:FW:017,Oh Hyeon Gyu,FW,71,0.21,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:park_seung_wook:DF:018,Park Seung Wook,DF,71,0.21,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:kim_jin_kyu:MF:019,Kim Jin Kyu,MF,71,0.21,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:hwang_ui_jo:FW:020,Hwang Ui Jo,FW,71,0.21,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
teams_db_2026_worldcup_pre_tournament_v1,2026-06-01,south_korea,south_korea:bae_jun_ho:MF:021,Bae Jun Ho,MF,71,0.21,FIFA Predictor 4.0 teams_db.json,2026-06-01T00:00:00,TRUE,
