k_factor,accuracy,log_loss,brier_score
65.0,0.5558454164897166,0.9589352658797232,0.5694252755944725
70.0,0.5553196222370523,0.9585153833277614,0.5691074278906645
75.0,0.5547736051285163,0.9582756888470727,0.5689027400416933
80.0,0.5538231309025461,0.9581930348439738,0.5687957387632453
85.0,0.5531759995146515,0.958256720209415,0.5687760201581571
90.0,0.5521648567210662,0.9584485596047112,0.5688330174511722
95.0,0.5516390624684018,0.9587498421452492,0.5689587775293738
