base_home,base_away,c1,matches,home_goal_mae,away_goal_mae,total_goals_mae,goal_difference_mae,poisson_log_loss,brier_score,predicted_avg_home_goals,predicted_avg_away_goals,predicted_avg_total_goals,actual_avg_home_goals,actual_avg_away_goals,actual_avg_total_goals,predicted_minus_actual_total_goals
1.0,1.0,0.5,48175,1.1907192845468026,0.8987470196172288,1.5750839477539527,1.5546492763299544,0.9834296130772106,0.5871594316656706,1.0143447913888946,0.9863314635201291,2.0006762549090236,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.8993548815725538
1.0,1.0,0.75,48175,1.1785158937686906,0.8938300400143228,1.5704665677810759,1.5153025703824252,0.964501037642872,0.5721240753936508,1.025263677790417,0.983952623974468,2.009216301764885,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.8908148347166924
1.0,1.0,1.0,48175,1.1690834351598685,0.8942017899788502,1.5616342924084645,1.5027283993121374,0.9693738929410552,0.5696404395945224,1.0432100897370928,0.9899634376556766,2.0331735273927696,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.8668576090888078
1.0,1.0,1.25,48175,1.162506490786715,0.8997663316366258,1.5512560667236348,1.5086192263114802,0.9892855514742287,0.5742156816498398,1.068338540629303,1.0045423520063426,2.0728808926356455,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.8271502438459319
1.0,1.0,1.5,48175,1.158712370893963,0.9091021160988064,1.5416325161781699,1.5267255488395088,1.0169579369436021,0.582282037823779,1.0994750265874416,1.0262025839190452,2.1256776105064867,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.7743535259750907
1.0,1.1,0.5,48175,1.1907192845468026,0.9095015357607565,1.5714081224074958,1.5796704765269907,0.9993177521541418,0.5973206751453761,1.0143447913888946,1.0861123032051896,2.100457094594084,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.7995740418874933
1.0,1.1,0.75,48175,1.1785158937686906,0.9022124110484345,1.567836438407369,1.5388622005927348,0.9794754371409631,0.5816804527782062,1.025263677790417,1.0819171900198237,2.1071808678102406,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.7928502686713368
1.0,1.1,1.0,48175,1.1690834351598685,0.9017165824589056,1.5603154534994408,1.524144298583959,0.9825217784128824,0.5782342778639166,1.0432100897370928,1.0844413978765843,2.127651487613677,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.7723796488679002
1.0,1.1,1.25,48175,1.162506490786715,0.907397039307617,1.551064395803725,1.5294738550021334,1.000940519992609,0.5819734095158936,1.068338540629303,1.0949009563711007,2.1632394970004034,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.736791639481174
1.0,1.1,1.5,48175,1.158712370893963,0.917831747152465,1.5425213517147898,1.5477887793894483,1.0274953495379842,0.5894127843094783,1.0994750265874416,1.1124289368825464,2.2119039634699877,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.6881271730115897
1.0,1.2,0.5,48175,1.1907192845468026,0.9310023019082512,1.5676344824306983,1.6099808490273886,1.0182383997158284,0.6097736089531641,1.0143447913888946,1.1860185538535433,2.2003633452424376,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.6996677912391398
1.0,1.2,0.75,48175,1.1785158937686906,0.9188646075748487,1.5648236306225567,1.5676186130108631,0.9977325816756069,0.5934509911500295,1.025263677790417,1.180671604564366,2.205935282354783,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.6940958541267945
