base,c1,scale,world_cup_matches,euro_matches,pooled_matches,world_cup_log_loss,euro_log_loss,pooled_log_loss,world_cup_brier_score,euro_brier_score,pooled_brier_score,world_cup_goal_difference_mae,euro_goal_difference_mae,pooled_goal_difference_mae,world_cup_predicted_avg_total_goals,euro_predicted_avg_total_goals,pooled_predicted_avg_total_goals,world_cup_actual_avg_total_goals,euro_actual_avg_total_goals,pooled_actual_avg_total_goals,world_cup_total_goal_error,euro_total_goal_error,pooled_total_goal_error,world_cup_abs_total_goal_error,euro_abs_total_goal_error,pooled_abs_total_goal_error
1.35,1.0,500.0,881,289,1170,0.9823217398010166,1.0345775437056717,0.9952293699962692,0.5828308553227768,0.6216696777598316,0.5924243764204776,1.3549948115505108,1.1657857534809688,1.3082585570358973,2.700021749030647,2.7,2.7000163768341885,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.1308522577797957,0.29515570934256097,-0.025624648806837236,0.1308522577797957,0.29515570934256097,0.025624648806837236
1.35,1.0,550.0,881,289,1170,0.9848859249301813,1.0350170206983662,0.9972687340558277,0.5853050092965133,0.6220449026463846,0.5943800769701147,1.3594949214074914,1.1614095085121108,1.3105661313846153,2.7,2.7,2.7,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13087400681044237,0.29515570934256097,-0.02564102564102555,0.13087400681044237,0.29515570934256097,0.02564102564102555
1.35,1.0,600.0,881,289,1170,0.9881252966756173,1.0361041697815836,0.9999764884086276,0.5879317979644222,0.6228069629665803,0.5965462617982896,1.3644495901021567,1.158786143656286,1.313648961022792,2.7,2.7,2.7,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13087400681044237,0.29515570934256097,-0.02564102564102555,0.13087400681044237,0.29515570934256097,0.02564102564102555
1.35,1.1,500.0,881,289,1170,0.9813519152039619,1.0350783087673776,0.9946227936140686,0.580854334845645,0.621834916420821,0.590976888756094,1.353351054154597,1.17076103426436,1.3082497586432478,2.7003640209219073,2.7001120842698962,2.7003017904155557,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13050998588853524,0.29526779361245703,-0.02533923522546999,0.13050998588853524,0.29526779361245703,0.02533923522546999
1.35,1.1,550.0,881,289,1170,0.9823217398010167,1.0345775437056715,0.9952293699962694,0.5828308553227768,0.6216696777598316,0.5924243764204776,1.3549948115505108,1.1657857534809688,1.3082585570358973,2.700021749030647,2.7,2.7000163768341885,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.1308522577797957,0.29515570934256097,-0.025624648806837236,0.1308522577797957,0.29515570934256097,0.025624648806837236
1.35,1.1,600.0,881,289,1170,0.9846149006128163,1.034944023864366,0.9970466242193949,0.5850709403410925,0.6219914410013854,0.5941906195640184,1.3590381963390086,1.161774195592849,1.3103123021376069,2.7,2.7,2.7,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13087400681044237,0.29515570934256097,-0.02564102564102555,0.13087400681044237,0.29515570934256097,0.02564102564102555
1.35,1.2,500.0,881,289,1170,0.9811766285848458,1.0363645135946316,0.9948085078735878,0.579511687217504,0.6224801316641325,0.5901252602474828,1.3539718085366628,1.1775279358228374,1.3103886639090598,2.7011399492077186,2.700484022726644,2.700977929760684,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.12973405760272394,0.2956397320692048,-0.024663095880341768,0.12973405760272394,0.2956397320692048,0.024663095880341768
1.35,1.2,550.0,881,289,1170,0.9813407618285145,1.035014684305571,0.9945986794318209,0.5810012281554963,0.621808066852804,0.5910808660901298,1.3533854578004334,1.1702977685460836,1.308161233702564,2.7003286488106495,2.7000782716829193,2.7002668035201243,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13054535799979305,0.29523398102548004,-0.025374222120901457,0.13054535799979305,0.29523398102548004,0.025374222120901457
1.35,1.2,600.0,881,289,1170,0.9823217398010166,1.0345775437056717,0.9952293699962692,0.5828308553227768,0.6216696777598316,0.5924243764204776,1.3549948115505108,1.1657857534809688,1.3082585570358973,2.700021749030647,2.7,2.7000163768341885,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.1308522577797957,0.29515570934256097,-0.025624648806837236,0.1308522577797957,0.29515570934256097,0.025624648806837236
1.35,1.25,500.0,881,289,1170,0.9810154528713981,1.037416750804559,0.9949470555232636,0.5790518382936231,0.6230374907034909,0.5899166703846079,1.354947866699773,1.1821225443944636,1.3122585349508546,2.701832962607832,2.7006699919550172,2.701545698916667,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.12904104420261042,0.295825701297578,-0.024095326724358657,0.12904104420261042,0.295825701297578,0.024095326724358657
1.35,1.25,550.0,881,289,1170,0.9812696684099572,1.0354211608393622,0.9946455498732888,0.5802967976625888,0.6219958221164902,0.5905968131046216,1.3534777369027964,1.172879588078012,1.308868450569153,2.700562627899598,2.7002473346178046,2.7004847477641807,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13031137891084477,0.29540304396036543,-0.025156277876845046,0.13031137891084477,0.29540304396036543,0.025156277876845046
1.35,1.25,600.0,881,289,1170,0.9816476740661917,1.0346998647486205,0.9947520186022796,0.5819115009332527,0.6216880831573712,0.5917366567133971,1.3538932349342603,1.1677915324250288,1.3079245238016382,2.700137049874669,2.7,2.7001031973842595,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13073695693577347,0.29515570934256097,-0.025537828256766204,0.13073695693577347,0.29515570934256097,0.025537828256766204
1.35,1.3,500.0,881,289,1170,0.9813007296936517,1.0387623901878238,0.9954942509610154,0.578777704001239,0.6237511182341914,0.5898865217049332,1.3566842607200909,1.1871851878110726,1.3148165410015384,2.702699359748922,2.700911130346713,2.7022576518025643,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.12817464706152037,0.29606683968927383,-0.023383373838461452,0.12817464706152037,0.29606683968927383,0.023383373838461452
1.35,1.3,550.0,881,289,1170,0.9812169057133261,1.036050057079401,0.9947611627601605,0.5797106600682772,0.6223157559011824,0.5902344828851217,1.353780848544629,1.175964697446996,1.3098587394273504,2.7009567883687957,2.70041639755269,2.700823307218493,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.12991721844164683,0.2955721068952508,-0.024817718422532664,0.12991721844164683,0.2955721068952508,0.024817718422532664
1.35,1.3,600.0,881,289,1170,0.9813488165757883,1.0349683851694178,0.9945933083053248,0.5811286321945588,0.6217898103104511,0.591172290720622,1.3534391957534997,1.1699117137808535,1.3081063390952992,2.7002991720512677,2.7000500945271053,2.700237647773932,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.13057483475917486,0.2952058038696661,-0.0254033778670939,0.13057483475917486,0.2952058038696661,0.0254033778670939
1.4,1.0,500.0,881,289,1170,0.981980866063099,1.0347780431968059,0.9950222200730481,0.5827968723574865,0.6217959369536312,0.5924299746380725,1.3550165605811577,1.1657857534809688,1.3082749338700854,2.8,2.8,2.8,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030874006810442722,0.3951557093425606,0.0743589743589741,0.030874006810442722,0.3951557093425606,0.0743589743589741
1.4,1.0,550.0,881,289,1170,0.9848268952020235,1.0353924339238911,0.9973170154504158,0.5853153787565728,0.6222393155413188,0.5944359067316086,1.3594949214074914,1.1614095085121108,1.3105661313846153,2.8,2.8,2.8,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030874006810442722,0.3951557093425606,0.0743589743589741,0.030874006810442722,0.3951557093425606,0.0743589743589741
1.4,1.0,600.0,881,289,1170,0.9882033348879296,1.03658743719034,1.00015462169596,0.5879622353768154,0.6230455410401632,0.596628111732976,1.3644495901021567,1.158786143656286,1.313648961022792,2.8,2.8,2.8,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030874006810442722,0.3951557093425606,0.0743589743589741,0.030874006810442722,0.3951557093425606,0.0743589743589741
1.4,1.1,500.0,881,289,1170,0.9805154678746744,1.0351677784371198,0.9940150556973645,0.5807841776792725,0.6219419918276938,0.5909505095501211,1.3534078078435867,1.170873118534256,1.3083201794586325,2.8001937598549373,2.8,2.8001458995147006,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030680246955505197,0.3951557093425606,0.07450487387367488,0.030680246955505197,0.3951557093425606,0.07450487387367488
1.4,1.1,550.0,881,289,1170,0.981980866063099,1.0347780431968059,0.9950222200730481,0.5827968723574865,0.6217959369536312,0.5924299746380725,1.3550165605811577,1.1657857534809688,1.3082749338700854,2.8,2.8,2.8,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030874006810442722,0.3951557093425606,0.0743589743589741,0.030874006810442722,0.3951557093425606,0.0743589743589741
