alpha,accuracy,log_loss,brier_score,elo_std,elo_min,elo_max,argentina_final_elo,spain_final_elo,france_final_elo,norway_final_elo,brazil_final_elo
0.0,0.5538231309025461,0.9581930348439738,0.5687957387632453,278.94380135861,747.49289,2179.630198,2179.630198,2152.063775,2124.211764,2065.856035,2055.547233
0.25,0.5559869764808186,0.9544610037458029,0.5661969885618627,289.23037197979295,726.339403,2202.490964,2202.490964,2168.992547,2146.643432,2086.608123,2077.430695
0.5,0.5567352221480717,0.9513795658446131,0.5640260743955634,299.29822568026617,703.560923,2225.277789,2225.277789,2185.461984,2168.467144,2106.571241,2099.025853
0.75,0.5578272563651439,0.9488894145705844,0.5622308750982996,309.22308912776697,653.874997,2248.156008,2248.156008,2201.602961,2189.851821,2125.895428,2120.498095
1.0,0.5590406277174462,0.9469499541543781,0.56077643215229,319.07329374890736,608.413045,2271.258671,2271.258671,2217.517228,2210.931851,2144.691934,2141.97915
