variant,accuracy,log_loss,brier_score
none,0.5538231309025461,0.9581930348439738,0.5687957387632453
simple_linear_capped,0.5530951080911647,0.9586406978702358,0.5646945482502552
sqrt_margin,0.5563509878865094,0.948733381644048,0.5612044214708295
log_margin,0.5590406277174462,0.9469499541543781,0.56077643215229
